,,,,name_handle,,subscribers,1 post reach,citation index
47 511,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,37.9k,406,#47
37.9k,,drop,,#VALUE!,,1 post reach,citation index,Battle_🅉 _Sailor 👊🏻⚓️33 387 subscribersBlogs
1 post reach,,drop,,#VALUE!,,406,#47,33 387
406,,drop,,#VALUE!,,citation index,Battle_🅉 _Sailor 👊🏻⚓️33 387 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#47,33 387,21.9k
#47,,drop,,#VALUE!,,Battle_🅉 _Sailor 👊🏻⚓️33 387 subscribersBlogs,subscribers,1 post reach
Battle_🅉 _Sailor 👊🏻⚓️33 387 subscribersBlogs,https://tgstat.ru/en/channel/@BattleSailor_13/stat,https://tgstat.ru/en/channel/,BattleSailor_13/stat,BattleSailor_13,stat,33 387,21.9k,400.1
33 387,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,21.9k,400.1,#48
21.9k,,drop,,#VALUE!,,1 post reach,citation index,НАРЫШКИН13 399 subscribersBlogs
1 post reach,,drop,,#VALUE!,,400.1,#48,13 399
400.1,,drop,,#VALUE!,,citation index,НАРЫШКИН13 399 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#48,13 399,12.9k
#48,,drop,,#VALUE!,,НАРЫШКИН13 399 subscribersBlogs,subscribers,1 post reach
НАРЫШКИН13 399 subscribersBlogs,https://tgstat.ru/en/channel/@naralex88/stat,https://tgstat.ru/en/channel/,naralex88/stat,naralex88,stat,13 399,12.9k,386.2
13 399,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,12.9k,386.2,#49
12.9k,,drop,,#VALUE!,,1 post reach,citation index,МАКАРОВ9 969 subscribersBlogs
1 post reach,,drop,,#VALUE!,,386.2,#49,9 969
386.2,,drop,,#VALUE!,,citation index,МАКАРОВ9 969 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#49,9 969,17.9k
#49,,drop,,#VALUE!,,МАКАРОВ9 969 subscribersBlogs,subscribers,1 post reach
МАКАРОВ9 969 subscribersBlogs,https://tgstat.ru/en/channel/@makarov_kb/stat,https://tgstat.ru/en/channel/,makarov_kb/stat,makarov_kb,stat,9 969,17.9k,363.5
9 969,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,17.9k,363.5,#50
17.9k,,drop,,#VALUE!,,1 post reach,citation index,Супер78 169 subscribersBlogs
1 post reach,,drop,,#VALUE!,,363.5,#50,78 169
363.5,,drop,,#VALUE!,,citation index,Супер78 169 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#50,78 169,39.2k
#50,,drop,,#VALUE!,,Супер78 169 subscribersBlogs,subscribers,1 post reach
Супер78 169 subscribersBlogs,https://tgstat.ru/en/channel/@romasuperromasuper/stat,https://tgstat.ru/en/channel/,romasuperromasuper/stat,romasuperromasuper,stat,78 169,39.2k,362.5
78 169,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,39.2k,362.5,#51
39.2k,,drop,,#VALUE!,,1 post reach,citation index,ГОРИ ЯСНО17 213 subscribersBlogs
1 post reach,,drop,,#VALUE!,,362.5,#51,17 213
362.5,,drop,,#VALUE!,,citation index,ГОРИ ЯСНО17 213 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#51,17 213,7k
#51,,drop,,#VALUE!,,ГОРИ ЯСНО17 213 subscribersBlogs,subscribers,1 post reach
ГОРИ ЯСНО17 213 subscribersBlogs,https://tgstat.ru/en/channel/@Gori_spb/stat,https://tgstat.ru/en/channel/,Gori_spb/stat,Gori_spb,stat,17 213,7k,360.3
17 213,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,7k,360.3,#52
7k,,drop,,#VALUE!,,1 post reach,citation index,Stanovaya Тяга28 503 subscribersBlogs
1 post reach,,drop,,#VALUE!,,360.3,#52,28 503
360.3,,drop,,#VALUE!,,citation index,Stanovaya Тяга28 503 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#52,28 503,64.8k
#52,,drop,,#VALUE!,,Stanovaya Тяга28 503 subscribersBlogs,subscribers,1 post reach
Stanovaya Тяга28 503 subscribersBlogs,https://tgstat.ru/en/channel/@stanovaya/stat,https://tgstat.ru/en/channel/,stanovaya/stat,stanovaya,stat,28 503,64.8k,357.7
28 503,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,64.8k,357.7,#53
64.8k,,drop,,#VALUE!,,1 post reach,citation index,Анатолий Несмиян76 314 subscribersBlogs
1 post reach,,drop,,#VALUE!,,357.7,#53,76 314
357.7,,drop,,#VALUE!,,citation index,Анатолий Несмиян76 314 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#53,76 314,60.2k
#53,,drop,,#VALUE!,,Анатолий Несмиян76 314 subscribersBlogs,subscribers,1 post reach
Анатолий Несмиян76 314 subscribersBlogs,https://tgstat.ru/en/channel/@anatoly_nesmiyan/stat,https://tgstat.ru/en/channel/,anatoly_nesmiyan/stat,anatoly_nesmiyan,stat,76 314,60.2k,351
76 314,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,60.2k,351,#54
60.2k,,drop,,#VALUE!,,1 post reach,citation index,Лиза Лазерсон33 494 subscribersBlogs
1 post reach,,drop,,#VALUE!,,351,#54,33 494
351,,drop,,#VALUE!,,citation index,Лиза Лазерсон33 494 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#54,33 494,23.6k
#54,,drop,,#VALUE!,,Лиза Лазерсон33 494 subscribersBlogs,subscribers,1 post reach
Лиза Лазерсон33 494 subscribersBlogs,https://tgstat.ru/en/channel/@znachit_net/stat,https://tgstat.ru/en/channel/,znachit_net/stat,znachit_net,stat,33 494,23.6k,350.1
33 494,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,23.6k,350.1,#55
23.6k,,drop,,#VALUE!,,1 post reach,citation index,Larkin6 323 subscribersBlogs
1 post reach,,drop,,#VALUE!,,350.1,#55,6 323
350.1,,drop,,#VALUE!,,citation index,Larkin6 323 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#55,6 323,2.8k
#55,,drop,,#VALUE!,,Larkin6 323 subscribersBlogs,subscribers,1 post reach
Larkin6 323 subscribersBlogs,https://tgstat.ru/en/channel/@larkin_doc/stat,https://tgstat.ru/en/channel/,larkin_doc/stat,larkin_doc,stat,6 323,2.8k,346.2
6 323,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,2.8k,346.2,#56
2.8k,,drop,,#VALUE!,,1 post reach,citation index,ЯнZен17 336 subscribersBlogs
1 post reach,,drop,,#VALUE!,,346.2,#56,17 336
346.2,,drop,,#VALUE!,,citation index,ЯнZен17 336 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#56,17 336,20.8k
#56,,drop,,#VALUE!,,ЯнZен17 336 subscribersBlogs,subscribers,1 post reach
ЯнZен17 336 subscribersBlogs,https://tgstat.ru/en/channel/@rus_jansen/stat,https://tgstat.ru/en/channel/,rus_jansen/stat,rus_jansen,stat,17 336,20.8k,345.2
17 336,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,20.8k,345.2,#57
20.8k,,drop,,#VALUE!,,1 post reach,citation index,Леонид Пасечник16 336 subscribersBlogs
1 post reach,,drop,,#VALUE!,,345.2,#57,16 336
345.2,,drop,,#VALUE!,,citation index,Леонид Пасечник16 336 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#57,16 336,49.6k
#57,,drop,,#VALUE!,,Леонид Пасечник16 336 subscribersBlogs,subscribers,1 post reach
Леонид Пасечник16 336 subscribersBlogs,https://tgstat.ru/en/channel/@glava_lnr_info/stat,https://tgstat.ru/en/channel/,glava_lnr_info/stat,glava_lnr_info,stat,16 336,49.6k,344.5
16 336,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,49.6k,344.5,#58
49.6k,,drop,,#VALUE!,,1 post reach,citation index,Северное техно20 119 subscribersBlogs
1 post reach,,drop,,#VALUE!,,344.5,#58,20 119
344.5,,drop,,#VALUE!,,citation index,Северное техно20 119 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#58,20 119,8.8k
#58,,drop,,#VALUE!,,Северное техно20 119 subscribersBlogs,subscribers,1 post reach
Северное техно20 119 subscribersBlogs,https://tgstat.ru/en/channel/@northerntechno/stat,https://tgstat.ru/en/channel/,northerntechno/stat,northerntechno,stat,20 119,8.8k,336.2
20 119,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,8.8k,336.2,#59
8.8k,,drop,,#VALUE!,,1 post reach,citation index,Одинокая Коко12 353 subscribersBlogs
1 post reach,,drop,,#VALUE!,,336.2,#59,12 353
336.2,,drop,,#VALUE!,,citation index,Одинокая Коко12 353 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#59,12 353,6.4k
#59,,drop,,#VALUE!,,Одинокая Коко12 353 subscribersBlogs,subscribers,1 post reach
Одинокая Коко12 353 subscribersBlogs,https://tgstat.ru/en/channel/@odinokayakoko/stat,https://tgstat.ru/en/channel/,odinokayakoko/stat,odinokayakoko,stat,12 353,6.4k,334.9
12 353,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,6.4k,334.9,#60
6.4k,,drop,,#VALUE!,,1 post reach,citation index,Рядовой Губарев46 947 subscribersBlogs
1 post reach,,drop,,#VALUE!,,334.9,#60,46 947
334.9,,drop,,#VALUE!,,citation index,Рядовой Губарев46 947 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#60,46 947,308.1k
#60,,drop,,#VALUE!,,Рядовой Губарев46 947 subscribersBlogs,subscribers,1 post reach
Рядовой Губарев46 947 subscribersBlogs,https://tgstat.ru/en/channel/@pgubarev/stat,https://tgstat.ru/en/channel/,pgubarev/stat,pgubarev,stat,46 947,308.1k,332.4
46 947,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,308.1k,332.4,#61
308.1k,,drop,,#VALUE!,,1 post reach,citation index,RAG&E - Razvedos Advanced Gear & Equipment114 873 subscribersBlogs
1 post reach,,drop,,#VALUE!,,332.4,#61,114 873
332.4,,drop,,#VALUE!,,citation index,RAG&E - Razvedos Advanced Gear & Equipment114 873 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#61,114 873,69.1k
#61,,drop,,#VALUE!,,RAG&E - Razvedos Advanced Gear & Equipment114 873 subscribersBlogs,subscribers,1 post reach
RAG&E - Razvedos Advanced Gear & Equipment114 873 subscribersBlogs,https://tgstat.ru/en/channel/@razvedosaa/stat,https://tgstat.ru/en/channel/,razvedosaa/stat,razvedosaa,stat,114 873,69.1k,330.9
114 873,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,69.1k,330.9,#62
69.1k,,drop,,#VALUE!,,1 post reach,citation index,Подосокорский41 510 subscribersBlogs
1 post reach,,drop,,#VALUE!,,330.9,#62,41 510
330.9,,drop,,#VALUE!,,citation index,Подосокорский41 510 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#62,41 510,11.3k
#62,,drop,,#VALUE!,,Подосокорский41 510 subscribersBlogs,subscribers,1 post reach
Подосокорский41 510 subscribersBlogs,https://tgstat.ru/en/channel/@podosokorsky/stat,https://tgstat.ru/en/channel/,podosokorsky/stat,podosokorsky,stat,41 510,11.3k,328.2
41 510,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,11.3k,328.2,#63
11.3k,,drop,,#VALUE!,,1 post reach,citation index,Ernest Vardanean 🇲🇩🇦🇲15 256 subscribersBlogs
1 post reach,,drop,,#VALUE!,,328.2,#63,15 256
328.2,,drop,,#VALUE!,,citation index,Ernest Vardanean 🇲🇩🇦🇲15 256 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#63,15 256,6.8k
#63,,drop,,#VALUE!,,Ernest Vardanean 🇲🇩🇦🇲15 256 subscribersBlogs,subscribers,1 post reach
Ernest Vardanean 🇲🇩🇦🇲15 256 subscribersBlogs,https://tgstat.ru/en/channel/@ErnestV_2020/stat,https://tgstat.ru/en/channel/,ErnestV_2020/stat,ErnestV_2020,stat,15 256,6.8k,328.1
15 256,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,6.8k,328.1,#64
6.8k,,drop,,#VALUE!,,1 post reach,citation index,БОГЕМА ПИТЕРСКАЯ16 787 subscribersBlogs
1 post reach,,drop,,#VALUE!,,328.1,#64,16 787
328.1,,drop,,#VALUE!,,citation index,БОГЕМА ПИТЕРСКАЯ16 787 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#64,16 787,6.1k
#64,,drop,,#VALUE!,,БОГЕМА ПИТЕРСКАЯ16 787 subscribersBlogs,subscribers,1 post reach
БОГЕМА ПИТЕРСКАЯ16 787 subscribersBlogs,https://tgstat.ru/en/channel/@bogemasranaya/stat,https://tgstat.ru/en/channel/,bogemasranaya/stat,bogemasranaya,stat,16 787,6.1k,327.8
16 787,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,6.1k,327.8,#65
6.1k,,drop,,#VALUE!,,1 post reach,citation index,Кухня Роджерса29 928 subscribersBlogs
1 post reach,,drop,,#VALUE!,,327.8,#65,29 928
327.8,,drop,,#VALUE!,,citation index,Кухня Роджерса29 928 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#65,29 928,23.2k
#65,,drop,,#VALUE!,,Кухня Роджерса29 928 subscribersBlogs,subscribers,1 post reach
Кухня Роджерса29 928 subscribersBlogs,https://tgstat.ru/en/channel/@rogers_kitchen/stat,https://tgstat.ru/en/channel/,rogers_kitchen/stat,rogers_kitchen,stat,29 928,23.2k,319.9
29 928,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,23.2k,319.9,#66
23.2k,,drop,,#VALUE!,,1 post reach,citation index,СМОЛЯК3 684 subscribersBlogs
1 post reach,,drop,,#VALUE!,,319.9,#66,3 684
319.9,,drop,,#VALUE!,,citation index,СМОЛЯК3 684 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#66,3 684,2.9k
#66,,drop,,#VALUE!,,СМОЛЯК3 684 subscribersBlogs,subscribers,1 post reach
СМОЛЯК3 684 subscribersBlogs,https://tgstat.ru/en/channel/@smolyak/stat,https://tgstat.ru/en/channel/,smolyak/stat,smolyak,stat,3 684,2.9k,315.1
3 684,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,2.9k,315.1,#67
2.9k,,drop,,#VALUE!,,1 post reach,citation index,Мир Михаила Онуфриенко795 702 subscribersBlogs
1 post reach,,drop,,#VALUE!,,315.1,#67,795 702
315.1,,drop,,#VALUE!,,citation index,Мир Михаила Онуфриенко795 702 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#67,795 702,409.4k
#67,,drop,,#VALUE!,,Мир Михаила Онуфриенко795 702 subscribersBlogs,subscribers,1 post reach
Мир Михаила Онуфриенко795 702 subscribersBlogs,https://tgstat.ru/en/channel/@Mikle1On/stat,https://tgstat.ru/en/channel/,Mikle1On/stat,Mikle1On,stat,795 702,409.4k,311.7
795 702,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,409.4k,311.7,#68
409.4k,,drop,,#VALUE!,,1 post reach,citation index,[BadComedian]347 478 subscribersBlogs
1 post reach,,drop,,#VALUE!,,311.7,#68,347 478
311.7,,drop,,#VALUE!,,citation index,[BadComedian]347 478 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#68,347 478,270.3k
#68,,drop,,#VALUE!,,[BadComedian]347 478 subscribersBlogs,subscribers,1 post reach
[BadComedian]347 478 subscribersBlogs,https://tgstat.ru/en/channel/@TheBadComedian/stat,https://tgstat.ru/en/channel/,TheBadComedian/stat,TheBadComedian,stat,347 478,270.3k,308.8
347 478,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,270.3k,308.8,#69
270.3k,,drop,,#VALUE!,,1 post reach,citation index,𝓩__𝓼𝓽𝓸𝓻𝔂💙🔗18 620 subscribersBlogs
1 post reach,,drop,,#VALUE!,,308.8,#69,18 620
308.8,,drop,,#VALUE!,,citation index,𝓩__𝓼𝓽𝓸𝓻𝔂💙🔗18 620 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#69,18 620,9.6k
#69,,drop,,#VALUE!,,𝓩__𝓼𝓽𝓸𝓻𝔂💙🔗18 620 subscribersBlogs,subscribers,1 post reach
𝓩__𝓼𝓽𝓸𝓻𝔂💙🔗18 620 subscribersBlogs,https://tgstat.ru/en/channel/@leylinurimm/stat,https://tgstat.ru/en/channel/,leylinurimm/stat,leylinurimm,stat,18 620,9.6k,303.2
18 620,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,9.6k,303.2,#70
9.6k,,drop,,#VALUE!,,1 post reach,citation index,Александр Пелевин18 614 subscribersBlogs
1 post reach,,drop,,#VALUE!,,303.2,#70,18 614
303.2,,drop,,#VALUE!,,citation index,Александр Пелевин18 614 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#70,18 614,9.7k
#70,,drop,,#VALUE!,,Александр Пелевин18 614 subscribersBlogs,subscribers,1 post reach
Александр Пелевин18 614 subscribersBlogs,https://tgstat.ru/en/channel/@comradepelevin/stat,https://tgstat.ru/en/channel/,comradepelevin/stat,comradepelevin,stat,18 614,9.7k,301.6
18 614,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,9.7k,301.6,#71
9.7k,,drop,,#VALUE!,,1 post reach,citation index,Говорит Фурсов119 665 subscribersBlogs
1 post reach,,drop,,#VALUE!,,301.6,#71,119 665
301.6,,drop,,#VALUE!,,citation index,Говорит Фурсов119 665 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#71,119 665,36.9k
#71,,drop,,#VALUE!,,Говорит Фурсов119 665 subscribersBlogs,subscribers,1 post reach
Говорит Фурсов119 665 subscribersBlogs,https://tgstat.ru/en/channel/@govoritfursov/stat,https://tgstat.ru/en/channel/,govoritfursov/stat,govoritfursov,stat,119 665,36.9k,296
119 665,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,36.9k,296,#72
36.9k,,drop,,#VALUE!,,1 post reach,citation index,СОЛДАТ УДАЧИ103 193 subscribersBlogs
1 post reach,,drop,,#VALUE!,,296,#72,103 193
296,,drop,,#VALUE!,,citation index,СОЛДАТ УДАЧИ103 193 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#72,103 193,45.2k
#72,,drop,,#VALUE!,,СОЛДАТ УДАЧИ103 193 subscribersBlogs,subscribers,1 post reach
СОЛДАТ УДАЧИ103 193 subscribersBlogs,https://tgstat.ru/en/channel/@Soldieroffortune777/stat,https://tgstat.ru/en/channel/,Soldieroffortune777/stat,Soldieroffortune777,stat,103 193,45.2k,295
103 193,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,45.2k,295,#73
45.2k,,drop,,#VALUE!,,1 post reach,citation index,Накипело. Майкл Наки90 590 subscribersBlogs
1 post reach,,drop,,#VALUE!,,295,#73,90 590
295,,drop,,#VALUE!,,citation index,Накипело. Майкл Наки90 590 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#73,90 590,58.4k
#73,,drop,,#VALUE!,,Накипело. Майкл Наки90 590 subscribersBlogs,subscribers,1 post reach
Накипело. Майкл Наки90 590 subscribersBlogs,https://tgstat.ru/en/channel/@Nackepelo/stat,https://tgstat.ru/en/channel/,Nackepelo/stat,Nackepelo,stat,90 590,58.4k,290.6
90 590,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,58.4k,290.6,#74
58.4k,,drop,,#VALUE!,,1 post reach,citation index,Толстые люди в просторных футболках10 320 subscribersBlogs
1 post reach,,drop,,#VALUE!,,290.6,#74,10 320
290.6,,drop,,#VALUE!,,citation index,Толстые люди в просторных футболках10 320 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#74,10 320,5.3k
#74,,drop,,#VALUE!,,Толстые люди в просторных футболках10 320 subscribersBlogs,subscribers,1 post reach
Толстые люди в просторных футболках10 320 subscribersBlogs,https://tgstat.ru/en/channel/@oversized_shirts/stat,https://tgstat.ru/en/channel/,oversized_shirts/stat,oversized_shirts,stat,10 320,5.3k,290.2
10 320,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,5.3k,290.2,#75
5.3k,,drop,,#VALUE!,,1 post reach,citation index,ПАРФЕНТЬЕВ.КЛУБ 🇷🇺54 192 subscribersBlogs
1 post reach,,drop,,#VALUE!,,290.2,#75,54 192
290.2,,drop,,#VALUE!,,citation index,ПАРФЕНТЬЕВ.КЛУБ 🇷🇺54 192 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#75,54 192,11.4k
#75,,drop,,#VALUE!,,ПАРФЕНТЬЕВ.КЛУБ 🇷🇺54 192 subscribersBlogs,subscribers,1 post reach
ПАРФЕНТЬЕВ.КЛУБ 🇷🇺54 192 subscribersBlogs,https://tgstat.ru/en/channel/@parfentiev_club/stat,https://tgstat.ru/en/channel/,parfentiev_club/stat,parfentiev_club,stat,54 192,11.4k,288.4
54 192,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,11.4k,288.4,#76
11.4k,,drop,,#VALUE!,,1 post reach,citation index,Марьяна Батьковна54 725 subscribersBlogs
1 post reach,,drop,,#VALUE!,,288.4,#76,54 725
288.4,,drop,,#VALUE!,,citation index,Марьяна Батьковна54 725 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#76,54 725,183.4k
#76,,drop,,#VALUE!,,Марьяна Батьковна54 725 subscribersBlogs,subscribers,1 post reach
Марьяна Батьковна54 725 subscribersBlogs,https://tgstat.ru/en/channel/@maryananaumova/stat,https://tgstat.ru/en/channel/,maryananaumova/stat,maryananaumova,stat,54 725,183.4k,286.6
54 725,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,183.4k,286.6,#77
183.4k,,drop,,#VALUE!,,1 post reach,citation index,Тринадцатый.71 831 subscribersBlogs
1 post reach,,drop,,#VALUE!,,286.6,#77,71 831
286.6,,drop,,#VALUE!,,citation index,Тринадцатый.71 831 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#77,71 831,48.4k
#77,,drop,,#VALUE!,,Тринадцатый.71 831 subscribersBlogs,subscribers,1 post reach
Тринадцатый.71 831 subscribersBlogs,https://tgstat.ru/en/channel/@separ_13/stat,https://tgstat.ru/en/channel/,separ_13/stat,separ_13,stat,71 831,48.4k,283.8
71 831,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,48.4k,283.8,#78
48.4k,,drop,,#VALUE!,,1 post reach,citation index,Vандал4 759 subscribersBlogs
1 post reach,,drop,,#VALUE!,,283.8,#78,4 759
283.8,,drop,,#VALUE!,,citation index,Vандал4 759 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#78,4 759,62.8k
#78,,drop,,#VALUE!,,Vандал4 759 subscribersBlogs,subscribers,1 post reach
Vандал4 759 subscribersBlogs,https://tgstat.ru/en/channel/@vandalslavyansk/stat,https://tgstat.ru/en/channel/,vandalslavyansk/stat,vandalslavyansk,stat,4 759,62.8k,281.3
4 759,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,62.8k,281.3,#79
62.8k,,drop,,#VALUE!,,1 post reach,citation index,Женская власть 💙💛🤍❤️🤍22 014 subscribersBlogs
1 post reach,,drop,,#VALUE!,,281.3,#79,22 014
281.3,,drop,,#VALUE!,,citation index,Женская власть 💙💛🤍❤️🤍22 014 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#79,22 014,7.2k
#79,,drop,,#VALUE!,,Женская власть 💙💛🤍❤️🤍22 014 subscribersBlogs,subscribers,1 post reach
Женская власть 💙💛🤍❤️🤍22 014 subscribersBlogs,https://tgstat.ru/en/channel/@vlast_Zh/stat,https://tgstat.ru/en/channel/,vlast_Zh/stat,vlast_Zh,stat,22 014,7.2k,280.2
22 014,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,7.2k,280.2,#80
7.2k,,drop,,#VALUE!,,1 post reach,citation index,КZКрючков Z5 191 subscribersBlogs
1 post reach,,drop,,#VALUE!,,280.2,#80,5 191
280.2,,drop,,#VALUE!,,citation index,КZКрючков Z5 191 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#80,5 191,318.2k
#80,,drop,,#VALUE!,,КZКрючков Z5 191 subscribersBlogs,subscribers,1 post reach
КZКрючков Z5 191 subscribersBlogs,https://tgstat.ru/en/channel/@kryuchkovoleg/stat,https://tgstat.ru/en/channel/,kryuchkovoleg/stat,kryuchkovoleg,stat,5 191,318.2k,274.1
5 191,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,318.2k,274.1,#81
318.2k,,drop,,#VALUE!,,1 post reach,citation index,Ks ks 🐾✨41 440 subscribersBlogs
1 post reach,,drop,,#VALUE!,,274.1,#81,41 440
274.1,,drop,,#VALUE!,,citation index,Ks ks 🐾✨41 440 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#81,41 440,5.7k
#81,,drop,,#VALUE!,,Ks ks 🐾✨41 440 subscribersBlogs,subscribers,1 post reach
Ks ks 🐾✨41 440 subscribersBlogs,https://tgstat.ru/en/channel/@TanyaChuprova/stat,https://tgstat.ru/en/channel/,TanyaChuprova/stat,TanyaChuprova,stat,41 440,5.7k,273.7
41 440,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,5.7k,273.7,#82
5.7k,,drop,,#VALUE!,,1 post reach,citation index,Лис Z Ворон10 118 subscribersBlogs
1 post reach,,drop,,#VALUE!,,273.7,#82,10 118
273.7,,drop,,#VALUE!,,citation index,Лис Z Ворон10 118 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#82,10 118,3.5k
#82,,drop,,#VALUE!,,Лис Z Ворон10 118 subscribersBlogs,subscribers,1 post reach
Лис Z Ворон10 118 subscribersBlogs,https://tgstat.ru/en/channel/@foxandraven/stat,https://tgstat.ru/en/channel/,foxandraven/stat,foxandraven,stat,10 118,3.5k,272.2
10 118,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,3.5k,272.2,#83
3.5k,,drop,,#VALUE!,,1 post reach,citation index,СИНЬКА26 500 subscribersBlogs
1 post reach,,drop,,#VALUE!,,272.2,#83,26 500
272.2,,drop,,#VALUE!,,citation index,СИНЬКА26 500 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#83,26 500,10.6k
#83,,drop,,#VALUE!,,СИНЬКА26 500 subscribersBlogs,subscribers,1 post reach
СИНЬКА26 500 subscribersBlogs,https://tgstat.ru/en/channel/@thynk/stat,https://tgstat.ru/en/channel/,thynk/stat,thynk,stat,26 500,10.6k,271.1
26 500,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,10.6k,271.1,#84
