,,,,name_handle,,subscribers,1 post reach,citation index
#13,#ERROR!,drop,,#VALUE!,,WarGonzo1 331 728 subscribersNews and media,subscribers,1 post reach
WarGonzo1 331 728 subscribersNews and media,https://tgstat.ru/en/channel/@wargonzo/stat,https://tgstat.ru/en/channel/,wargonzo/stat,wargonzo,stat,1 331 728,667.8k,3 621.9
1 331 728,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,667.8k,3 621.9,#14
667.8k,,drop,,#VALUE!,,1 post reach,citation index,Война с фейками795 006 subscribersNews and media
1 post reach,,drop,,#VALUE!,,3 621.9,#14,795 006
3 621.9,,drop,,#VALUE!,,citation index,Война с фейками795 006 subscribersNews and media,subscribers
citation index,#ERROR!,drop,,#VALUE!,,#14,795 006,169.8k
#14,#ERROR!,drop,,#VALUE!,,Война с фейками795 006 subscribersNews and media,subscribers,1 post reach
Война с фейками795 006 subscribersNews and media,https://tgstat.ru/en/channel/@warfakes/stat,https://tgstat.ru/en/channel/,warfakes/stat,warfakes,stat,795 006,169.8k,3 205.3
795 006,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,169.8k,3 205.3,#15
169.8k,,drop,,#VALUE!,,1 post reach,citation index,СИГНАЛ738 878 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,3 205.3,#15,738 878
3 205.3,,drop,,#VALUE!,,citation index,СИГНАЛ738 878 subscribersNews and media,subscribers
citation index,#ERROR!,drop,,#VALUE!,,#15,738 878,129.6k
#15,#ERROR!,drop,,#VALUE!,,СИГНАЛ738 878 subscribersNews and media,subscribers,1 post reach
СИГНАЛ738 878 subscribersNews and media,https://tgstat.ru/en/channel/@ssigny/stat,https://tgstat.ru/en/channel/,ssigny/stat,ssigny,stat,738 878,129.6k,3 032.3
738 878,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,129.6k,3 032.3,#16
129.6k,,drop,,#VALUE!,,1 post reach,citation index,Подъём200 735 subscribersNews and media
1 post reach,,drop,,#VALUE!,,3 032.3,#16,200 735
