,id,date,from_id,to_id,fwd_from,message,type,duration
236,2293617,2022-11-18 13:21:11+00:00,PeerUser(user_id=5634733079),PeerChannel(channel_id=1234644047),,"Читал, что у центральных русских генетика вообще на 100% сходна с генетикой поляков.",text,
237,2293613,2022-11-18 13:20:05+00:00,PeerUser(user_id=1495698782),PeerChannel(channel_id=1234644047),,Шольц еврей,text,
238,2293603,2022-11-18 13:19:18+00:00,PeerUser(user_id=592537998),PeerChannel(channel_id=1234644047),,Хохлы были всегда,text,
239,2293598,2022-11-18 13:18:49+00:00,PeerUser(user_id=1055865165),PeerChannel(channel_id=1234644047),,"Да вы офигели центр Киева 6 дней горел, командный штаб взлетел на воздух, клуб с немцами тоже рванули",text,
240,2293592,2022-11-18 13:17:52+00:00,PeerUser(user_id=5634733079),PeerChannel(channel_id=1234644047),,"Генетика у русских, белорусов, украинцев и части поляков одинаковая. Что-то там типа R1",text,
241,2293575,2022-11-18 13:14:59+00:00,PeerUser(user_id=627245713),PeerChannel(channel_id=1234644047),,Другая у них генетика😒,text,
242,2293574,2022-11-18 13:14:59+00:00,PeerUser(user_id=5164575200),PeerChannel(channel_id=1234644047),,Заряжай солцепек.За пацанов!,text,
243,2293568,2022-11-18 13:14:19+00:00,PeerUser(user_id=5634733079),PeerChannel(channel_id=1234644047),,"Генетика у них одинаковая с русскими. Так что нет, не генетика. Идея. Идея украинства",text,
244,2293567,2022-11-18 13:14:18+00:00,PeerUser(user_id=832194360),PeerChannel(channel_id=1234644047),,А потом радостно провожали своих бандеровцев в рядах дивизии СС «Галичина»,text,
245,2293565,2022-11-18 13:14:06+00:00,PeerUser(user_id=5558763224),PeerChannel(channel_id=1234644047),,Почему же?,text,
246,2293557,2022-11-18 13:13:18+00:00,PeerUser(user_id=1174809928),PeerChannel(channel_id=1234644047),,"Ну если честно фрицы любили показательные видео снимать для еврогейцеп, показывать какие они хорошие освободители! А за кадром все было иначе! А под дулом автомата что хочешь снимешь!",text,
247,2293536,2022-11-18 13:10:27+00:00,PeerUser(user_id=1547697844),PeerChannel(channel_id=1234644047),,"У прибалтов там одна кровь с поляками, у моей подруги  прабабушку из знатного рода литовско-польского, её прабабушку и прадед в 40-х депортировали в Сибирь.",text,
248,2293532,2022-11-18 13:10:02+00:00,PeerUser(user_id=888461367),PeerChannel(channel_id=1234644047),,"Полмиллиона павших и попавших в плен под Киевом, так же ""освободителей"" встречали 🤦‍♂️? Не несите хрень!",text,
249,2293526,2022-11-18 13:09:18+00:00,PeerUser(user_id=627347600),PeerChannel(channel_id=1234644047),,"Хуесосы остались хуесосами
В Куеве все стабильно",text,
250,2293522,2022-11-18 13:09:03+00:00,PeerUser(user_id=1722804457),PeerChannel(channel_id=1234644047),,"Основатель альянса НАТО тоже нацист. А так то да, альянс создан, как оборонительный 100% - никакой мести, никакого реваншизма))",text,
251,2293512,2022-11-18 13:08:05+00:00,PeerUser(user_id=1350463802),PeerChannel(channel_id=1234644047),,"Щас хохлята так всех встречают , вне зависимости от флага )
Типо кто пришёл, тот и друг))",text,
252,2293502,2022-11-18 13:07:00+00:00,PeerUser(user_id=627245713),PeerChannel(channel_id=1234644047),,Арийцы🤔🤣🤣🤣🤣🤣🤣🤣,text,
253,2293498,2022-11-18 13:06:10+00:00,PeerUser(user_id=882260836),PeerChannel(channel_id=1234644047),,И в 41м чет не то у ебалов хохлов😁,text,
254,2293491,2022-11-18 13:05:00+00:00,PeerUser(user_id=5171309814),PeerChannel(channel_id=1234644047),,"Предатели и жополизы на генетическом уровне, и сейчас они такие же, от мало до велико, ублюдки и вырожденцы. В пыль хохлов поголовно😁",text,
255,2293489,2022-11-18 13:04:52+00:00,PeerUser(user_id=1150023353),PeerChannel(channel_id=1234644047),,Идеология скорее,text,
256,2293487,2022-11-18 13:04:46+00:00,PeerUser(user_id=627245713),PeerChannel(channel_id=1234644047),,Да и хер на них,text,
